raw_name,canonical_name,entity_type,source_url,matched,startup_name
picoGPT,,PRODUCT,https://github.com/jaymody/picoGPT,False,jaymody
TextAttack,,PRODUCT,https://github.com/QData/TextAttack,False,QData
Awesome-Code-LLM,,PRODUCT,https://github.com/codefuse-ai/Awesome-Code-LLM,False,codefuse-ai
Jiagu,,PRODUCT,https://github.com/ownthink/Jiagu,False,ownthink
learn-nlp-with-transformers,,PRODUCT,https://github.com/datawhalechina/learn-nlp-with-transformers,False,datawhalechina
nlp-roadmap,,PRODUCT,https://github.com/graykode/nlp-roadmap,False,graykode
deepdoctection,,PRODUCT,https://github.com/deepdoctection/deepdoctection,False,deepdoctection
Python-AI,,PRODUCT,https://github.com/kzbkzb/Python-AI,False,kzbkzb
textlint,,PRODUCT,https://github.com/textlint/textlint,False,textlint
LLMAgentPapers,,PRODUCT,https://github.com/zjunlp/LLMAgentPapers,False,zjunlp
prose,,PRODUCT,https://github.com/jdkato/prose,False,jdkato
rust-bert,,PRODUCT,https://github.com/guillaume-be/rust-bert,False,guillaume-be
Linly,,PRODUCT,https://github.com/CVI-SZU/Linly,False,CVI-SZU
promptsource,,PRODUCT,https://github.com/bigscience-workshop/promptsource,False,bigscience-workshop
awesome-deeplearning-resources,,PRODUCT,https://github.com/endymecy/awesome-deeplearning-resources,False,endymecy
nlp_tasks,,PRODUCT,https://github.com/Kyubyong/nlp_tasks,False,Kyubyong
GPT2-chitchat,,PRODUCT,https://github.com/yangjianxin1/GPT2-chitchat,False,yangjianxin1
chatglm.cpp,,PRODUCT,https://github.com/li-plus/chatglm.cpp,False,li-plus
DeepNLP-models-Pytorch,,PRODUCT,https://github.com/DSKSD/DeepNLP-models-Pytorch,False,DSKSD
nlp-architect,,PRODUCT,https://github.com/IntelLabs/nlp-architect,False,IntelLabs
texthero,,PRODUCT,https://github.com/jbesomi/texthero,False,jbesomi
neuralcoref,,PRODUCT,https://github.com/huggingface/neuralcoref,False,huggingface
thinc,,PRODUCT,https://github.com/explosion/thinc,False,explosion
lingvo,,PRODUCT,https://github.com/tensorflow/lingvo,False,tensorflow
aeneas,,PRODUCT,https://github.com/readbeyond/aeneas,False,readbeyond
gse,,PRODUCT,https://github.com/go-ego/gse,False,go-ego
adapters,,PRODUCT,https://github.com/adapter-hub/adapters,False,adapter-hub
sie,,PRODUCT,https://github.com/superlinked/sie,False,superlinked
eli5,,PRODUCT,https://github.com/TeamHG-Memex/eli5,False,TeamHG-Memex
setfit,,PRODUCT,https://github.com/huggingface/setfit,False,huggingface
sentiment,,PRODUCT,https://github.com/thisandagain/sentiment,False,thisandagain
dllm,,PRODUCT,https://github.com/ZHZisZZ/dllm,False,ZHZisZZ
